total 71
 1 GROSS_MARGIN           CAS       2025 MONEY            13.9 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%) 21.9 13.9 增加8.0个百分点
 2 GROSS_MARGIN           CAS       2025 MONEY            13.9 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%) 21.9 13.9 增加8.0个百分点
 3 GROSS_MARGIN           CAS       2025 MONEY            13.9 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%) 21.9 13.9 增加8.0个百分点
 4 GROSS_MARGIN           CAS       2025 MONEY            13.9 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%)	21.9	13.9	增加8.0个百分点
 5 GROSS_MARGIN           CAS       2025 MONEY            13.9 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%) 21.9 13.9 增加8.0个百分点
 6 GROSS_MARGIN           CAS       2025 MONEY            21.9 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%) 21.9 13.9 增加8.0个百分点
 7 GROSS_MARGIN           CAS       2025 MONEY            21.9 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%) 21.9 13.9 增加8.0个百分点
 8 GROSS_MARGIN           CAS       2025 MONEY            21.9 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%) 21.9 13.9 增加8.0个百分点
 9 GROSS_MARGIN           CAS       2025 MONEY            21.9 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%)	21.9	13.9	增加8.0个百分点
10 GROSS_MARGIN           CAS       2025 MONEY            21.9 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%) 21.9 13.9 增加8.0个百分点
11 GROSS_MARGIN           CAS       2025 MONEY             8.0 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%) 21.9 13.9 增加8.0个百分点
12 GROSS_MARGIN           CAS       2025 MONEY             8.0 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%) 21.9 13.9 增加8.0个百分点
13 GROSS_MARGIN           CAS       2025 MONEY             8.0 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%) 21.9 13.9 增加8.0个百分点
14 GROSS_MARGIN           CAS       2025 MONEY             8.0 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%)	21.9	13.9	增加8.0个百分点
15 GROSS_MARGIN           CAS       2025 MONEY             8.0 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%) 21.9 13.9 增加8.0个百分点
